City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
Port Lincoln,-34.7333,135.8667,13.93,59,0,1.92,AU,1659941051
Tuktoyaktuk,69.4541,-133.0374,8.95,71,100,5.55,CA,1659941053
Rapid Valley,44.0625,-103.1463,18.62,82,0,3.58,US,1659941055
Vestmannaeyjar,63.4427,-20.2734,11.08,82,100,8.09,IS,1659941056
Ulaangom,49.9811,92.0667,25.59,32,12,3.09,MN,1659941057
Pullman,46.7313,-117.1796,22.72,40,0,0,US,1659940960
Belyy Yar,53.6039,91.3903,26.59,33,0,3,RU,1659941060
Znamenskoye,57.1281,73.8282,22.75,45,16,3.88,RU,1659941062
Jalingo,8.8833,11.3667,23.28,95,100,1.57,NG,1659941064
Provideniya,64.3833,-173.3,4.3,59,61,9.22,RU,1659941065
Solnechnyy,50.7214,136.6319,17.41,97,96,0.89,RU,1659941067
Kahului,20.8947,-156.47,27.01,65,40,7.72,US,1659941069
Upernavik,72.7868,-56.1549,5.1,80,100,0.29,GL,1659941070
San Francisco del Mar Viejo,16.2333,-94.65,26.15,77,28,7.9,MX,1659941072
Arraial do Cabo,-22.9661,-42.0278,21.13,86,99,0.97,BR,1659941073
Dolinsk,47.35,142.8,19.3,99,100,3.6,RU,1659941076
Fortuna,40.5982,-124.1573,16.31,91,0,1.54,US,1659941078
Berlevåg,70.8578,29.0864,10,87,75,11.32,NO,1659941080
Hong Kong,22.2855,114.1577,31.29,83,60,1.34,HK,1659941032
Kaeo,-35.1,173.7833,13.51,91,21,0.23,NZ,1659941083
Marquette,46.5333,-87.6335,13.76,86,100,1.23,US,1659941084
Gamba,-2.65,10.0,21.41,75,100,1.55,GA,1659941086
Asunción,-25.3007,-57.6359,14.69,94,75,4.12,PY,1659940793
Umm Kaddadah,13.6017,26.6876,28.28,58,80,4.89,SD,1659941090
Sur,22.5667,59.5289,34.22,49,94,1.16,OM,1659941091
Santa Fe,-31.6333,-60.7,10.57,85,100,6.26,AR,1659940994
Tanakpur,29.0833,80.1167,35.74,49,51,2.27,IN,1659941094
Dingle,10.9995,122.6711,26.31,87,100,1.36,PH,1659941096
Kamenka,51.3223,42.7678,29.65,28,7,2.66,RU,1659941097
Prince Rupert,54.3161,-130.3201,14.05,88,100,5.66,CA,1659941099
Bathsheba,13.2167,-59.5167,27.34,92,75,7.2,BB,1659941101
Nikolskoye,59.7035,30.7861,20.49,56,100,2.49,RU,1659941102
Touros,-5.1989,-35.4608,22.06,85,2,5.96,BR,1659941104
Choctaw,35.4976,-97.2689,30.59,60,0,2.06,US,1659941102
Madīnat Sittah Uktūbar,29.8167,31.05,27.78,38,0,1.81,EG,1659941107
Quepos,9.4236,-84.1652,24.59,89,99,1.27,CR,1659941109
Ust-Tsilma,65.441,52.1498,18.51,58,96,2.87,RU,1659941110
Kipushi,-11.7667,27.2333,19.34,36,22,4.25,CD,1659941112
Saint Paul Harbor,57.79,-152.4072,15.73,59,40,3.09,US,1659941113
Yellowknife,62.456,-114.3525,15.31,82,75,1.54,CA,1659941115
Wuzhou,23.4833,111.3167,34.5,49,37,3.09,CN,1659941116
Nieuwpoort,51.1244,2.7735,18.94,77,20,1.54,BE,1659941119
Ponta Delgada,37.7333,-25.6667,21.4,94,75,1.54,PT,1659941120
Caucayá,-0.1934,-74.7819,21.06,98,15,0.93,CO,1659941122
Vyaz'ma,55.2104,34.2951,17.04,74,45,3.78,RU,1659941124
Mahébourg,-20.4081,57.7,24.58,68,40,3.6,MU,1659941126
Ilulissat,69.2167,-51.1,7.01,87,100,1.54,GL,1659941054
Chapais,49.7834,-74.8492,9.88,79,86,1.84,CA,1659941130
Indiaroba,-11.5192,-37.5117,22.01,72,92,1.77,BR,1659941131
Meulaboh,4.1363,96.1285,29.38,65,86,2.78,ID,1659941133
Nerchinskiy Zavod,51.3088,119.61,21.12,34,24,7.29,RU,1659941134
Kaitangata,-46.2817,169.8464,3.69,69,95,4.77,NZ,1659941136
Ambovombe,-25.1667,46.0833,21.34,71,94,6.68,MG,1659941137
Corrientes,-27.4806,-58.8341,13.98,89,100,3.6,AR,1659940967
Flinders,-34.5833,150.8552,14.1,64,51,3.74,AU,1659941140
Yerbogachën,61.2767,108.0108,9.75,94,100,3.43,RU,1659941142
Castro,-24.7911,-50.0119,13.53,97,100,2.46,BR,1659941145
Boa Vista,2.8197,-60.6733,26.99,74,0,2.06,BR,1659941147
Longyearbyen,78.2186,15.6401,7.91,87,75,3.09,SJ,1659940880
Richards Bay,-28.783,32.0377,22.45,69,100,5.51,ZA,1659941150
Ilovlya,49.3033,43.9796,32.91,18,22,4.08,RU,1659941152
Vilyuysk,63.7553,121.6247,16.85,76,100,1.25,RU,1659941153
Yaan,7.3833,8.5667,22.9,94,99,3.4,NG,1659941155
Aykhal,66.0,111.5,7.55,94,100,2.21,RU,1659941156
Kikinda,45.8297,20.4653,22.34,66,6,3.32,RS,1659941158
Saint George,37.1041,-113.5841,33.33,25,0,1.54,US,1659941159
Ancud,-41.8697,-73.8203,5.13,89,3,1.88,CL,1659941148
Copiapó,-27.3667,-70.3333,5.83,55,32,0.82,CL,1659941162
Petatlán,17.5167,-101.2667,24.39,91,23,1.6,MX,1659941164
Mēga,4.05,38.3,16.9,57,73,7.04,ET,1659941165
Avarua,-21.2078,-159.775,23.03,68,75,5.66,CK,1659941167
Poso,-1.3959,120.7524,28.36,73,72,1.32,ID,1659941169
Khandagayty,50.7333,92.05,22.04,42,29,2.36,RU,1659941171
Batagay-Alyta,67.8006,130.4114,18.04,63,100,4.36,RU,1659941173
Alofi,-19.0595,-169.9187,23.94,88,40,2.57,NU,1659941175
Lima,-12.0432,-77.0282,14.14,82,100,3.09,PE,1659940956
Novoorsk,51.381,58.9813,26.36,52,98,4.71,RU,1659941178
Torbay,47.6666,-52.7314,20.88,91,75,7.72,CA,1659940997
Hasaki,35.7333,140.8333,35.16,81,99,10.16,JP,1659941181
Taltal,-25.4,-70.4833,13.63,68,0,1.27,CL,1659941183
Cherskiy,68.75,161.3,12.07,46,41,1.73,RU,1659941184
Pevek,69.7008,170.3133,0.6,89,100,4.24,RU,1659941187
Ullapool,57.8987,-5.1604,15.19,88,93,3,GB,1659941189
Aklavik,68.2191,-135.0107,9.79,79,15,2.77,CA,1659941190
Port Blair,11.6667,92.75,30.02,74,100,9.26,IN,1659941073
Waingapu,-9.6567,120.2641,29.15,64,0,5.31,ID,1659941193
Hobyo,5.3505,48.5268,27.15,64,26,11.43,SO,1659941195
Bradford,53.7939,-1.7521,17.68,91,40,3.6,GB,1659941196
Inhambane,-23.865,35.3833,22.99,73,20,5.36,MZ,1659941198
Tupiza,-21.45,-65.7167,2.18,12,0,3.32,BO,1659941200
Khilok,51.3674,110.4676,21.73,28,3,5.14,RU,1659941202
Mount Gambier,-37.8333,140.7667,9.87,90,100,1.59,AU,1659941203
Pangnirtung,66.1451,-65.7125,5.64,92,89,0.56,CA,1659941205
Itarema,-2.9248,-39.9167,24.1,85,3,6.73,BR,1659941206
Khatanga,71.9667,102.5,15.58,60,100,3.76,RU,1659941208
San Angelo,31.4638,-100.437,29.19,53,0,4.12,US,1659941209
Bengkulu,-3.8004,102.2655,29.81,66,44,4.97,ID,1659941211
Auki,-8.7676,160.7034,24.92,89,100,2.88,SB,1659941212
Kachīry,53.0675,76.1036,18.46,63,100,3.93,KZ,1659941214
Mossamedes,-15.1961,12.1522,17.55,82,2,2,AO,1659941215
Malé,4.1748,73.5089,29.97,79,75,6.17,MV,1659941217
Christchurch,-43.5333,172.6333,6.06,64,100,1.54,NZ,1659940927
Jasper,37.2001,-94.3502,28.03,71,0,4.12,US,1659941074
Codrington,-38.2667,141.9667,10.51,68,97,2.29,AU,1659941221
Longford,53.7333,-7.8,11.49,90,45,1.59,IE,1659941223
Qaqortoq,60.7167,-46.0333,6.86,76,100,0.91,GL,1659941224
Tongchuanshi,35.0806,109.0897,35.58,41,99,4.1,CN,1659941226
Te Anau,-45.4167,167.7167,-0.68,90,37,1.94,NZ,1659941228
Le Mars,42.7942,-96.1656,19.73,94,100,4.63,US,1659941229
Faanui,-16.4833,-151.75,24.54,68,99,11.3,PF,1659941232
Egvekinot,66.3167,-179.1667,4.84,45,71,5.14,RU,1659941234
Zhangjiakou,40.81,114.8794,22.93,74,100,1.24,CN,1659941038
Chimbote,-9.0853,-78.5783,16.08,86,99,4.25,PE,1659941151
Nuuk,64.1835,-51.7216,4.34,100,75,4.12,GL,1659941238
Liku,-0.7275,119.8922,27.4,82,82,1.39,ID,1659941240
Magistral'nyy,56.1725,107.4458,16.48,84,89,3.15,RU,1659941241
Alta Floresta,-9.8756,-56.0861,21.65,79,22,0.43,BR,1659941243
Vardø,70.3705,31.1107,9.99,87,75,7.2,NO,1659941244
Gushikawa,26.3544,127.8686,33,64,20,4.63,JP,1659941246
Flin Flon,54.7682,-101.865,15.15,88,6,2.7,CA,1659941113
Sinnamary,5.3833,-52.95,25.03,82,93,3.5,GF,1659941249
Cabo San Lucas,22.8909,-109.9124,29.73,78,98,1.41,MX,1659941078
Taoudenni,22.6783,-3.9836,36.4,12,1,3.51,ML,1659941251
Finnsnes,69.2296,17.9811,10.42,74,100,2.05,NO,1659941253
Faya,18.3851,42.4509,23.06,49,49,1.56,SA,1659941255
Abu Samrah,35.3029,37.1841,28.46,37,0,5.16,SY,1659941256
Lujiang,31.2581,117.2817,36.44,46,36,6.6,CN,1659941258
Malakal,9.5334,31.6605,23.91,91,99,1.71,SS,1659941260
Nanortalik,60.1432,-45.2371,6.53,84,100,3.53,GL,1659941261
Atbasar,51.8,68.3333,23.95,42,17,6.48,KZ,1659941263
East London,-33.0153,27.9116,15.52,94,20,5.66,ZA,1659941264
Necochea,-38.5473,-58.7368,3.27,87,9,2.29,AR,1659941266
Shelburne,44.0787,-80.2041,21.73,98,80,3.53,CA,1659941267
Pisco,-13.7,-76.2167,16.03,77,100,1.54,PE,1659941269
Beringovskiy,63.05,179.3167,10.23,54,41,7.68,RU,1659941271
Bilma,18.6853,12.9164,32.67,41,99,3.28,NE,1659941272
Valparaíso,-33.0393,-71.6273,10.82,87,0,1.54,CL,1659941274
Hambantota,6.1241,81.1185,32.19,58,40,9.26,LK,1659941275
Talnakh,69.4865,88.3972,17.24,85,100,1.85,RU,1659941277
Pingshan,22.9938,114.7131,32.74,59,67,3.57,CN,1659941278
Sobolevo,54.4299,31.8996,16.72,70,24,4.28,RU,1659941280
Ponta do Sol,32.6667,-17.1,21.67,79,11,2.36,PT,1659941282
Greenville,35.6127,-77.3663,25.01,96,0,1.54,US,1659941030
Karia,11.7306,11.1629,21.18,88,100,3.57,NG,1659941285
Shubarshi,48.5872,57.1869,29.53,30,34,5.61,KZ,1659941287
Kavieng,-2.5744,150.7967,28.16,76,92,5.03,PG,1659941288
Terrace,54.5163,-128.6035,17.95,55,0,5.14,CA,1659941113
Dakar,14.6937,-17.4441,25.49,94,75,8.75,SN,1659941291
Japura,-0.3167,102.35,32.44,54,94,0.82,ID,1659941293
Puri,19.8,85.85,32.29,76,31,6.3,IN,1659941294
Jacareacanga,-6.2222,-57.7528,23.17,77,6,0.46,BR,1659941296
Alice Springs,-23.7,133.8833,21.79,15,0,6.69,AU,1659941297
Tiksi,71.6872,128.8694,12.16,88,99,6.18,RU,1659941299
Paamiut,61.994,-49.6678,6.59,76,26,5.12,GL,1659941300
Wanning,18.8003,110.3967,28.61,83,100,3.72,CN,1659941302
Indiana,40.0003,-86.2503,26.05,88,75,3.6,US,1659941303
Ntchisi,-13.5278,33.9149,11.99,45,0,3.92,MW,1659941305
Buala,-8.145,159.5921,26.79,79,100,1.24,SB,1659941306
Srednekolymsk,67.45,153.6833,23.1,31,45,6.13,RU,1659941308
Bredasdorp,-34.5322,20.0403,14.74,82,100,1.35,ZA,1659941310
Plettenberg Bay,-34.0527,23.3716,15.5,83,100,2.12,ZA,1659941311
Tynda,55.1667,124.7167,11.72,98,100,1.9,RU,1659941228
Fare,-16.7,-151.0167,24.51,68,98,11.05,PF,1659941314
Baghdad,33.3406,44.4009,35.95,21,0,4.63,IQ,1659941152
Saint-Augustin,51.226,-58.6502,13.89,64,60,6.64,CA,1659941317
Saldanha,-33.0117,17.9442,8.03,80,0,5.2,ZA,1659941319
Katsuura,35.1333,140.3,28.58,82,94,8.82,JP,1659941320
San Andrés,12.5847,-81.7006,28.01,83,40,6.69,CO,1659941042
Port Hedland,-20.3167,118.5667,29.03,13,7,4.63,AU,1659941323
Sambava,-14.2667,50.1667,23.41,66,0,5.49,MG,1659941324
Cidreira,-30.1811,-50.2056,14.61,92,100,8.4,BR,1659941326
Taksimo,56.3444,114.8794,16.18,53,65,3.61,RU,1659941327
Lompoc,34.6391,-120.4579,14.96,85,0,10.73,US,1659941329
Vangaindrano,-23.35,47.6,22.27,73,0,0.22,MG,1659941330
Garoowe,8.4054,48.4845,28.33,39,43,12.56,SO,1659941332
Santarém,-2.4431,-54.7083,25.07,100,0,1.03,BR,1659941333
Ust'-Kulom,61.6864,53.6902,27.27,47,63,3.11,RU,1659941335
San Rafael,-34.6177,-68.3301,1.91,97,98,2.49,AR,1659941336
Lilongwe,-13.9669,33.7873,15.11,72,0,1.03,MW,1659941338
Severo-Kuril'sk,50.6789,156.125,14.76,86,46,0.28,RU,1659941340
Half Moon Bay,37.4636,-122.4286,18.21,85,0,6.17,US,1659941130
Nsunga,-1.1439,31.3947,24.92,36,21,3.19,TZ,1659941343
Kresttsy,58.2452,32.5165,18.68,54,100,1.25,RU,1659941345
Ust'-Koksa,50.2696,85.6108,24.54,39,63,0.67,RU,1659941346
Price,39.5994,-110.8107,23.59,31,0,3.6,US,1659941348
Sandwick,60.0,-1.25,12.9,94,40,7.72,GB,1659941350
Deputatsky,69.3,139.9,13.97,79,100,1.4,RU,1659941353
Impfondo,1.6381,18.0667,24.45,86,97,0.94,CG,1659941354
Clyde River,70.4692,-68.5914,3.13,93,75,2.57,CA,1659941356
Vigrestad,58.5667,5.7,14.21,78,93,4.73,NO,1659941358
Lorengau,-2.0226,147.2712,28.02,77,98,3.66,PG,1659941360
Riberalta,-10.9833,-66.1,24.16,76,88,0.85,BO,1659941361
Moyobamba,-6.05,-76.9667,17.54,98,55,0.35,PE,1659941363
Salalah,17.0151,54.0924,25.05,94,100,3.6,OM,1659941365
Kailua,21.4022,-157.7394,26.19,77,75,2.57,US,1659941367
Xining,36.6167,101.7667,27.67,48,80,3.54,CN,1659941369
Gweta,-20.1833,25.2333,22.83,23,39,3.8,BW,1659941371
Piaçabuçu,-10.4056,-36.4344,23.41,63,97,3.49,BR,1659941372
Cairns,-16.9167,145.7667,26.15,82,100,6.69,AU,1659941374
Krasnosel'kup,65.7,82.4667,25.89,52,2,3.31,RU,1659941376
Arlit,18.7369,7.3853,32.5,45,100,7.66,NE,1659941377
Pinega,64.7001,43.3936,19,46,3,4.7,RU,1659941379
Bonavista,48.6499,-53.1147,18.65,94,100,8.09,CA,1659941381
Al Bardīyah,31.7561,25.0865,27.66,63,0,8.52,LY,1659941382
Santa Rosa,14.3122,121.1114,28.99,79,100,0.61,PH,1659941325
Geraldton,-28.7667,114.6,20.23,60,40,7.72,AU,1659941385
Atherton,53.5237,-2.4935,15.59,93,31,1.09,GB,1659941387
Ongandjera,-17.8833,15.0667,18.65,25,0,2.21,NA,1659941388
Anadyr,64.75,177.4833,8.28,57,20,8,RU,1659941390
Klaksvík,62.2266,-6.589,11.51,93,100,2.4,FO,1659941391
Antalaha,-14.9003,50.2788,24.41,62,3,4.69,MG,1659941393
Whitehorse,60.7161,-135.0538,13.43,50,75,2.57,CA,1659941118
Coquimbo,-29.9533,-71.3436,9.85,76,0,3.09,CL,1659941396
Beltsville,39.0348,-76.9075,27.07,90,0,2.06,US,1659941291
Ouésso,1.6136,16.0517,23.73,83,84,0.99,CG,1659941399
Chumikan,54.7183,135.315,11.82,98,100,5.57,RU,1659941400
Dwārka,22.2394,68.9678,29.69,77,98,4.86,IN,1659941402
Burē,10.7,37.0667,15.05,96,100,0.39,ET,1659941403
Kavaratti,10.5669,72.642,27.02,83,100,10.52,IN,1659941405
Snyder,32.7179,-100.9176,30.05,34,0,4.12,US,1659941370
Kassala,15.451,36.4,27.15,64,21,6.4,SD,1659941408
Stornoway,58.2093,-6.3865,14.98,95,75,7.72,GB,1659941409
Oktyabr'skoye,43.0645,44.7417,20.08,77,100,2,RU,1659941411
Akdepe,42.0551,59.3788,33.05,16,100,2.64,TM,1659941412
Ennis,52.8436,-8.9864,11.96,100,75,1.54,IE,1659941414
Banjar,-8.19,114.9675,29.34,63,36,0.87,ID,1659941416
Humaitá,-7.5061,-63.0208,22.59,90,49,0.93,BR,1659941418
Datong,40.0936,113.2914,20.97,81,100,3.93,CN,1659941419
Marawi,7.9986,124.2928,25.61,70,99,3.15,PH,1659941421
Kasongo-Lunda,-6.4667,16.8167,25.6,32,2,0.18,CD,1659941422
Acapulco de Juárez,16.8634,-99.8901,25.9,89,100,3.09,MX,1659941424
Wattegama,6.7989,81.4808,34.88,34,100,4.31,LK,1659941426
Acajutla,13.5928,-89.8275,24.52,89,100,2.84,SV,1659941428
Norman Wells,65.282,-126.8329,12.02,94,75,3.6,CA,1659941430
St. George's,12.0564,-61.7485,25.82,89,20,0,GD,1659941431
Bondo,3.8146,23.6866,24.2,84,100,1.27,CD,1659941433
Cayenne,4.9333,-52.3333,25.61,1,0,0.51,GF,1659941423
Wasilla,61.5814,-149.4394,12.68,92,100,2.06,US,1659941436
Athabasca,54.7169,-113.2854,16.23,55,95,3.7,CA,1659941437
Hastings,50.8552,0.5729,21.66,64,7,3.05,GB,1659941306
Haapiti,-17.5667,-149.8667,22.85,69,25,12.06,PF,1659941441
Tete,-16.1564,33.5867,20.08,64,0,1.54,MZ,1659941442
Aswān,24.0934,32.907,36.19,19,81,6.61,EG,1659941444
Cruzeiro,-22.5761,-44.9628,17.41,93,100,0.66,BR,1659941445
Maceió,-9.6658,-35.7353,20.69,88,75,1.54,BR,1659941397
Jiayuguan City,39.8167,98.3,24.41,34,93,5.3,CN,1659941452
Marzuq,14.4,46.4667,28.25,55,5,4.46,YE,1659941456
Harbin,45.75,126.65,25.97,44,0,6.33,CN,1659941462
Kieta,-6.2167,155.6333,27.07,81,60,0.5,PG,1659941465
Rosetta,31.4044,30.4164,27.92,62,0,3.47,EG,1659941466
Morondava,-20.2833,44.2833,24.08,53,0,3.48,MG,1659941463
Zhangaözen,43.3,52.8,29.53,18,100,3.53,KZ,1659941469
Grand Falls,47.0461,-67.7418,16.23,88,100,2.15,CA,1659941472
Griffith,41.5284,-87.4237,24.94,96,75,2.06,US,1659941481
Lüderitz,-26.6481,15.1594,15.16,54,10,2.94,NA,1659941483
Ambon City,-3.6954,128.1814,26.08,89,40,1.03,ID,1659941484
Phuket,8.0,98.25,31.12,74,40,4.63,TH,1659941212
Port Macquarie,-31.4333,152.9167,15.5,74,8,6.03,AU,1659941487
Samaná,19.2056,-69.3369,26.83,86,100,4.82,DO,1659941489
Oranjemund,-28.55,16.4333,12.76,69,12,2.79,NA,1659941491
Nyurba,63.2842,118.3319,18.83,57,100,2.19,RU,1659941493
Çanakkale Province,40.0833,26.8333,24.95,60,32,10.13,TR,1659941452
Švenčionys,55.15,26.1667,17.13,63,15,1.93,LT,1659941496
Ramsar,36.9226,50.6426,29.69,58,40,6.17,IR,1659941497
Mansôa,12.0733,-15.3189,25.11,97,100,0.85,GW,1659941499
Lebu,-37.6167,-73.65,6.83,87,63,4.17,CL,1659941291
Ballymena,54.8636,-6.2763,15.01,87,85,1.84,GB,1659941422
Pecos,31.4229,-103.4932,29.46,36,0,3.6,US,1659941503
São Filipe,14.8961,-24.4956,26.03,87,87,2.68,CV,1659941505
Mataram,-8.5833,116.1167,29.45,60,14,5.9,ID,1659941506
Ballina,-28.8667,153.5667,17.23,69,0,6.74,AU,1659941508
Maragogi,-9.0122,-35.2225,24.18,59,96,3.97,BR,1659941399
Huarmey,-10.0681,-78.1522,16.33,86,68,3.84,PE,1659941511
Danville,36.586,-79.395,23.76,91,0,1.54,US,1659941512
Amapá,1.0,-52.0,20.34,99,69,0.83,BR,1659941514
Pudozh,61.8099,36.5345,17.52,64,100,3.12,RU,1659941516
College,64.8569,-147.8028,13.1,79,75,2.06,US,1659941518
Vizinga,61.0749,50.1031,23.76,54,36,3.14,RU,1659941519
Dzerzhinskoye,56.8344,95.2283,24.66,39,64,2.99,RU,1659941521
Laas,46.6166,10.7002,17.61,73,80,0.51,IT,1659941522
San Vicente,-26.6167,-54.1333,13.06,100,100,0.74,AR,1659941524
San Cristobal,7.7669,-72.225,18.14,96,64,0.99,VE,1659941525
Cockburn Town,21.4612,-71.1419,27.47,85,100,10.37,TC,1659941527
Nueve de Julio,-35.4444,-60.8831,4.98,92,97,0.45,AR,1659941528
Ulaanbaatar,47.9077,106.8832,23.07,33,40,2,MN,1659941530
